field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transaction_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,11,11,11,11,11,10,,,,,,,,
back_reference_transaction_id,Back Reference Transaction ID,varchar,20,4,4,4,4,4,4,4,3,3,3,3,3,,,,,,,,,
account_name,Account Name,varchar,90,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3
event_tp,Event Type,char,2,6,6,6,6,6,6,6,6,6,6,6,6,,,6,6,6,6,6,6,6
activity_event_name,Activity or Event Name/Identifier,varchar,90,7,7,7,7,7,7,7,5,5,5,5,5,,,8,8,8,8,8,8,8
receipt_date,Receipt Date,int,,8,8,8,8,8,8,8,7,7,7,7,7,4,4,4,4,4,4,4,4,4
total_amount_transferred,Total Amount Transferred,"numeric(12, 4)",,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5
activity_event_amount_transferred,Amount Transferred for Activity or Event,"numeric(12, 4)",,10,10,10,10,10,10,10,8,8,8,8,8,,,7,7,7,7,7,7,7
space_holder,Not used,char,1,,,,,,,,10,,,,,,,,,,,,,
internal,Internal Use Only,char,1,,,,,,,,,10,,,,,,,,,,,,
amended_code,Amended Code,char,1,,,,,,,,,,10,10,10,9,33,,,,,,,
original_transaction_id,Original Transaction ID (discontinued after v2),varchar,20,,,,,,,,,,,,,11,,,,,,,,
super_transaction_id,Super Transaction ID (discontinued after v2),varchar,20,,,,,,,,,,,,,12,,,,,,,,
administrative_and_voter_drive_amount_transferred,Amount Transferred for Administrative Costs and Voter Drive (discontinued after v2),"numeric(12, 4)",,,,,,,,,,,,,,6,6,,,,,,,
fundraising_amount_transferred,Amount Transferred for Fundraising (discontinued after v2),"numeric(12, 4)",,,,,,,,,,,,,,7,19,,,,,,,
direct_candidate_support_amount_transferred,Amount Transferred for Direct Candidate Support (discontinued after v2),"numeric(12, 4)",,,,,,,,,,,,,,8,32,,,,,,,
administrative_or_voter_drive_activity_event_name_1,Administration/Voter Drive Activity or Event Name 1 (v1 only),varchar,38,,,,,,,,,,,,,,7,,,,,,,
administrative_or_voter_drive_activity_event_id_1,Administration/Voter Drive Activity or Event Identifier 1 (v1 only),varchar,10,,,,,,,,,,,,,,8,,,,,,,
administrative_or_voter_drive_activity_event_amount_transferred_1,Administration/Voter Drive Amount Transferred for Activity or Event 1 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,9,,,,,,,
administrative_or_voter_drive_activity_event_name_2,Administration/Voter Drive Activity or Event Name 2 (v1 only),varchar,38,,,,,,,,,,,,,,10,,,,,,,
administrative_or_voter_drive_activity_event_id_2,Administration/Voter Drive Activity or Event Identifier 2 (v1 only),varchar,10,,,,,,,,,,,,,,11,,,,,,,
administrative_or_voter_drive_activity_event_amount_transferred_2,Administration/Voter Drive Amount Transferred for Activity or Event 2 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,12,,,,,,,
administrative_or_voter_drive_activity_event_name_3,Administration/Voter Drive Activity or Event Name 3 (v1 only),varchar,38,,,,,,,,,,,,,,13,,,,,,,
administrative_or_voter_drive_activity_event_id_3,Administration/Voter Drive Activity or Event Identifier 3 (v1 only),varchar,10,,,,,,,,,,,,,,14,,,,,,,
administrative_or_voter_drive_activity_event_amount_transferred_3,Administration/Voter Drive Amount Transferred for Activity or Event 3 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,15,,,,,,,
administrative_or_voter_drive_activity_event_name_4,Administration/Voter Drive Activity or Event Name 4 (v1 only),varchar,38,,,,,,,,,,,,,,16,,,,,,,
administrative_or_voter_drive_activity_event_id_4,Administration/Voter Drive Activity or Event Identifier 4 (v1 only),varchar,10,,,,,,,,,,,,,,17,,,,,,,
administrative_or_voter_drive_activity_event_amount_transferred_4,Administration/Voter Drive Amount Transferred for Activity or Event 4 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,18,,,,,,,
fundraising_activity_event_name_1,Fundraising Activity or Event Name 1 (v1 only),varchar,38,,,,,,,,,,,,,,20,,,,,,,
fundraising_activity_event_id_1,Fundraising Activity or Event Identifier 1 (v1 only),varchar,10,,,,,,,,,,,,,,21,,,,,,,
fundraising_activity_event_amount_transferred_1,Fundraising Amount Transferred for Activity or Event 1 (v1 only),"numeric(12, 4)",,,,,,,,,,,,,,,22,,,,,,,
